id,publicDate,source,coAuthorship,citationCount,refCount,Class
201800282,15/11/2018,1,3,29,89,"['ENER', 'PHYS']"
201800276,17/11/2018,1,5,11,18,"['CHEM', 'BIOC', 'AGRI']"
201800044,11/12/2018,1,5,76,60,"['ENVI', 'CENG', 'MATE', 'ENER']"
201800249,01/12/2018,1,4,9,39,"['EART', 'AGRI']"
201800043,12/12/2018,1,2303,59,101,['PHYS']
201800271,20/11/2018,1,2,53,21,['COMP']
201800285,14/11/2018,1,1,5,16,"['AGRI', 'ENVI']"
201800088,01/12/2018,1,32,23,107,"['PHYS', 'EART']"
201800075,01/12/2018,1,2,,,['VETE']
201800247,01/12/2018,1,5,8,48,"['MATE', 'ENGI']"
201800081,01/12/2018,1,7,8,22,"['NEUR', 'MEDI']"
201800278,16/11/2018,1,2,1,7,['PHYS']
201800086,01/12/2018,1,2,0,16,"['ENER', 'ENGI', 'COMP']"
201800240,01/12/2018,1,5,19,46,['MULT']
201800072,01/12/2018,1,4,,33,['VETE']
201800019,19/12/2018,1,3,0,31,"['BUSI', 'ECON', 'ENVI']"
201800026,19/12/2018,1,3,2,3,['PHYS']
201800214,01/12/2018,1,6,14,23,"['IMMU', 'VETE']"
201800213,01/12/2018,1,4,79,52,['CHEM']
201800021,19/12/2018,1,3,4,17,['PHYS']
201800028,19/12/2018,1,3,3,3,['PHYS']
201800225,01/12/2018,1,40,34,27,['MULT']
201800017,20/12/2018,1,5,119,74,"['ENVI', 'CENG', 'MATE', 'ENER']"
201800010,25/12/2018,1,5,19,43,"['CHEM', 'PHYS', 'MATE']"
201800222,01/12/2018,1,7,36,47,['MULT']
201800073,01/12/2018,1,3,,29,['VETE']
201800241,01/12/2018,1,7,53,353,['NEUR']
201800087,01/12/2018,1,2,3,16,"['ENER', 'ENGI', 'COMP']"
201800080,01/12/2018,1,7,,42,['VETE']
201800246,01/12/2018,1,12,23,31,['MULT']
201800074,01/12/2018,1,1,,3,['VETE']
201800279,16/11/2018,1,3,1,22,['PHYS']
201800284,15/11/2018,1,3,34,23,"['CHEM', 'MATE']"
201800270,21/11/2018,1,5,22,42,"['CHEM', 'BIOC', 'ENVI']"
201800042,13/12/2018,1,4,39,48,"['AGRI', 'NURS']"
201800089,01/12/2018,1,3,0,,"['COMP', 'DECI', 'ENGI', 'PHYS']"
201800045,10/12/2018,1,5,44,54,"['SOCI', 'COMP']"
201800277,16/11/2018,1,2,0,5,['PHYS']
201800283,15/11/2018,1,2,19,43,"['CHEM', 'MATE']"
201800248,01/12/2018,1,2,11,18,"['ENGI', 'COMP']"
201800223,01/12/2018,1,5,0,4,['MEDI']
201800011,24/12/2018,1,2,6,19,"['COMP', 'DECI']"
201800029,19/12/2018,1,3,0,1,['PHYS']
201800016,20/12/2018,1,9,13,49,['PHYS']
201800224,01/12/2018,1,4,22,69,['MULT']
201800020,19/12/2018,1,3,1,11,['PHYS']
201800212,01/12/2018,1,13,52,140,['BIOC']
201800018,20/12/2018,1,6,33,41,"['ENER', 'ENGI', 'ENVI', 'BUSI']"
201800215,01/12/2018,1,7,22,31,['DENT']
201800027,19/12/2018,1,5,0,7,['PHYS']
